Sai Thatigotla
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,12345


Experiment #:,0
Rule:,0212331122222
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6228035612570098,1.6691803368667308,0.018679417896047153,
1,3,,0.912,0.8461538461538461,1.8676292150070015,1.8339272176418302,0.05408357620992536,
2,4,,0.792,0.7692307692307692,1.925618583376675,1.7758589482446405,0.05803729884569046,
3,11,,0.768,0.6923076923076923,1.935429173222685,1.8262452584026092,0.058151030080036796,
4,2,,0.72,0.6153846153846154,1.9509183987390435,1.760495029766198,0.006640154374528203,
5,8,,0.6,0.5384615384615384,1.874265917136357,1.7381493331928661,0.010746976748836443,
6,12,,0.5920000000000001,0.46153846153846156,1.86328236666043,1.6691803368667308,0.010746976748836443,
7,10,,0.544,0.3846153846153846,1.778673311082429,1.5465935642949382,0.008803547414676578,
8,1,,0.52,0.3076923076923077,1.722255154745147,1.3520301017579528,0.0013766478531042378,
9,5,,0.376,0.23076923076923073,1.235940856274886,0.9912642605354288,0.0012972859478186099,
10,7,,0.23199999999999998,0.15384615384615385,0.997093854473825,0.7732283485249176,0.0012885373913304305,
11,6,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,0.001249168887133623,
12,9,,0.0,0.0,-0.0,-0.0,0.001231671774157264,


Experiment #:,1
Rule:,0443221441232
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9390513186881975,2.1619781796795534,0.048797573400388934,
1,4,,0.872,0.8461538461538461,2.2012970710972084,2.2577560641285177,0.0665271480205766,
2,8,,0.752,0.7692307692307692,2.2694193397076172,2.2954656791802917,0.06802190138627126,
3,11,,0.728,0.6923076923076923,2.2333616149591546,2.199687794731328,0.017788314928036873,
4,7,,0.5840000000000001,0.6153846153846154,2.0445896853960153,2.133937566094917,0.019324936385496393,
5,2,,0.536,0.5384615384615384,1.888064926490055,1.9877733714879842,0.03544415171496703,
6,3,,0.45599999999999996,0.46153846153846156,1.5603425701800528,1.6691803368667308,0.0014078926977048787,
7,1,,0.43200000000000005,0.3846153846153846,1.416905091958886,1.3346791410515946,0.0013235316172831482,
8,12,,0.42400000000000004,0.3076923076923077,1.4045430928232565,1.198183947911799,0.0013235316172831482,
9,6,,0.272,0.23076923076923073,1.0820427388679852,0.9912642605354287,0.0013060345043067894,
10,9,,0.19199999999999995,0.15384615384615385,0.7056366064601749,0.6193821946787638,0.0012847880099783537,
11,10,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0012779141441662126,
12,5,,0.0,0.0,-0.0,-0.0,0.0012366709492933666,


Experiment #:,2
Rule:,0322421133121
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9563917846616636,2.103909910282364,0.04509818379967306,
1,7,,0.848,0.8461538461538461,2.2547352710052198,2.199687794731328,0.06784005639069554,
2,9,,0.768,0.7692307692307692,2.2497469645122585,2.199687794731328,0.06763634000389936,
3,6,,0.616,0.6923076923076923,2.0526525408430527,2.1619781796795534,0.06462871126264166,
4,1,,0.5920000000000001,0.6153846153846154,2.0145709303302777,2.038159681645953,0.06388195947668635,
5,4,,0.472,0.5384615384615384,1.6063072463064065,1.7381493331928661,0.0370220163672994,
6,12,,0.46399999999999997,0.46153846153846156,1.5794572108429143,1.573402452417767,0.03729759589667705,
7,5,,0.31999999999999995,0.3846153846153846,1.3688083945373872,1.4885252948977485,0.037194487909494936,
8,3,,0.24,0.3076923076923077,1.1515543507190826,1.3520301017579528,0.03658583833667445,
9,11,,0.21599999999999997,0.23076923076923073,1.0628684953335106,1.1451104143815827,0.03689578719511281,
10,8,,0.09599999999999997,0.15384615384615385,0.5521861025695264,0.7732283485249176,0.03640649292866677,
11,10,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.036398369269070606,
12,2,,0.0,0.0,-0.0,-0.0,0.0012429199182134947,


Experiment #:,3
Rule:,0413132232213
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.697074182011192,2.103909910282364,0.006612658911279639,
