run,p,num_stable,frac_unstable
1,1,1.0,0.0
1,2,2.0,0.0
1,3,3.0,0.0
1,4,4.0,0.0
1,5,5.0,0.0
1,6,6.0,0.0
1,7,7.0,0.0
1,8,8.0,0.0
1,9,9.0,0.0
1,10,10.0,0.0
1,11,11.0,0.0
1,12,11.0,0.08333333333333333
1,13,11.0,0.15384615384615385
1,14,10.0,0.2857142857142857
1,15,12.0,0.2
1,16,12.0,0.25
1,17,11.0,0.35294117647058826
1,18,10.0,0.4444444444444444
1,19,7.0,0.631578947368421
1,20,11.0,0.45
1,21,11.0,0.47619047619047616
1,22,8.0,0.6363636363636364
1,23,9.0,0.6086956521739131
1,24,10.0,0.5833333333333334
1,25,9.0,0.64
1,26,7.0,0.7307692307692307
1,27,3.0,0.8888888888888888
1,28,5.0,0.8214285714285714
1,29,6.0,0.7931034482758621
1,30,3.0,0.9
1,31,2.0,0.9354838709677419
1,32,2.0,0.9375
1,33,1.0,0.9696969696969697
1,34,0.0,1.0
1,35,0.0,1.0
1,36,0.0,1.0
1,37,0.0,1.0
1,38,0.0,1.0
1,39,0.0,1.0
1,40,0.0,1.0
1,41,0.0,1.0
1,42,0.0,1.0
1,43,0.0,1.0
1,44,0.0,1.0
1,45,0.0,1.0
1,46,0.0,1.0
1,47,0.0,1.0
1,48,0.0,1.0
1,49,0.0,1.0
1,50,0.0,1.0
2,1,1.0,0.0
2,2,2.0,0.0
2,3,3.0,0.0
2,4,4.0,0.0
2,5,5.0,0.0
2,6,6.0,0.0
2,7,7.0,0.0
2,8,8.0,0.0
2,9,9.0,0.0
2,10,10.0,0.0
2,11,11.0,0.0
2,12,12.0,0.0
2,13,13.0,0.0
2,14,11.0,0.21428571428571427
2,15,11.0,0.26666666666666666
2,16,10.0,0.375
2,17,8.0,0.5294117647058824
2,18,6.0,0.6666666666666666
2,19,6.0,0.6842105263157895
2,20,6.0,0.7
2,21,6.0,0.7142857142857143
2,22,6.0,0.7272727272727273
2,23,4.0,0.8260869565217391
2,24,5.0,0.7916666666666666
2,25,4.0,0.84
2,26,2.0,0.9230769230769231
2,27,3.0,0.8888888888888888
2,28,2.0,0.9285714285714286
2,29,2.0,0.9310344827586207
2,30,2.0,0.9333333333333333
2,31,2.0,0.9354838709677419
2,32,1.0,0.96875
2,33,0.0,1.0
2,34,0.0,1.0
2,35,0.0,1.0
2,36,1.0,0.9722222222222222
2,37,0.0,1.0
2,38,0.0,1.0
2,39,0.0,1.0
2,40,0.0,1.0
2,41,0.0,1.0
2,42,0.0,1.0
2,43,0.0,1.0
2,44,0.0,1.0
2,45,0.0,1.0
2,46,0.0,1.0
2,47,0.0,1.0
2,48,0.0,1.0
2,49,0.0,1.0
2,50,0.0,1.0
3,1,1.0,0.0
3,2,2.0,0.0
3,3,3.0,0.0
3,4,4.0,0.0
3,5,5.0,0.0
3,6,6.0,0.0
3,7,7.0,0.0
3,8,8.0,0.0
3,9,8.0,0.1111111111111111
3,10,8.0,0.2
3,11,9.0,0.18181818181818182
3,12,10.0,0.16666666666666666
3,13,9.0,0.3076923076923077
3,14,9.0,0.35714285714285715
3,15,11.0,0.26666666666666666
3,16,9.0,0.4375
3,17,8.0,0.5294117647058824
3,18,6.0,0.6666666666666666
3,19,7.0,0.631578947368421
3,20,5.0,0.75
3,21,7.0,0.6666666666666666
3,22,4.0,0.8181818181818182
3,23,3.0,0.8695652173913043
3,24,6.0,0.75
3,25,3.0,0.88
3,26,2.0,0.9230769230769231
3,27,4.0,0.8518518518518519
3,28,2.0,0.9285714285714286
3,29,0.0,1.0
3,30,1.0,0.9666666666666667
3,31,2.0,0.9354838709677419
3,32,1.0,0.96875
3,33,1.0,0.9696969696969697
3,34,1.0,0.9705882352941176
3,35,0.0,1.0
3,36,0.0,1.0
3,37,0.0,1.0
3,38,0.0,1.0
3,39,0.0,1.0
3,40,0.0,1.0
3,41,0.0,1.0
3,42,0.0,1.0
3,43,0.0,1.0
3,44,0.0,1.0
3,45,0.0,1.0
3,46,0.0,1.0
3,47,0.0,1.0
3,48,0.0,1.0
3,49,0.0,1.0
3,50,0.0,1.0
4,1,1.0,0.0
4,2,2.0,0.0
4,3,3.0,0.0
4,4,4.0,0.0
4,5,5.0,0.0
4,6,6.0,0.0
4,7,7.0,0.0
4,8,8.0,0.0
4,9,9.0,0.0
4,10,10.0,0.0
4,11,10.0,0.09090909090909091
4,12,11.0,0.08333333333333333
4,13,11.0,0.15384615384615385
4,14,12.0,0.14285714285714285
4,15,11.0,0.26666666666666666
4,16,12.0,0.25
4,17,12.0,0.29411764705882354
4,18,14.0,0.2222222222222222
4,19,11.0,0.42105263157894735
4,20,9.0,0.55
4,21,8.0,0.6190476190476191
4,22,8.0,0.6363636363636364
4,23,6.0,0.7391304347826086
4,24,8.0,0.6666666666666666
4,25,5.0,0.8
4,26,4.0,0.8461538461538461
4,27,4.0,0.8518518518518519
4,28,4.0,0.8571428571428571
4,29,2.0,0.9310344827586207
4,30,2.0,0.9333333333333333
4,31,1.0,0.967741935483871
4,32,2.0,0.9375
4,33,1.0,0.9696969696969697
4,34,1.0,0.9705882352941176
4,35,1.0,0.9714285714285714
4,36,0.0,1.0
4,37,0.0,1.0
4,38,0.0,1.0
4,39,0.0,1.0
4,40,0.0,1.0
4,41,0.0,1.0
4,42,0.0,1.0
4,43,0.0,1.0
4,44,0.0,1.0
4,45,0.0,1.0
4,46,0.0,1.0
4,47,0.0,1.0
4,48,0.0,1.0
4,49,0.0,1.0
4,50,0.0,1.0
5,1,1.0,0.0
5,2,2.0,0.0
5,3,3.0,0.0
5,4,4.0,0.0
5,5,5.0,0.0
5,6,6.0,0.0
5,7,7.0,0.0
5,8,8.0,0.0
5,9,9.0,0.0
5,10,10.0,0.0
5,11,11.0,0.0
5,12,11.0,0.08333333333333333
5,13,12.0,0.07692307692307693
5,14,12.0,0.14285714285714285
5,15,9.0,0.4
5,16,8.0,0.5
5,17,8.0,0.5294117647058824
5,18,8.0,0.5555555555555556
5,19,10.0,0.47368421052631576
5,20,7.0,0.65
5,21,8.0,0.6190476190476191
5,22,4.0,0.8181818181818182
5,23,5.0,0.782608695652174
5,24,2.0,0.9166666666666666
5,25,3.0,0.88
5,26,2.0,0.9230769230769231
5,27,1.0,0.9629629629629629
5,28,0.0,1.0
5,29,1.0,0.9655172413793104
5,30,1.0,0.9666666666666667
5,31,1.0,0.967741935483871
5,32,0.0,1.0
5,33,1.0,0.9696969696969697
5,34,2.0,0.9411764705882353
5,35,1.0,0.9714285714285714
5,36,1.0,0.9722222222222222
5,37,0.0,1.0
5,38,1.0,0.9736842105263158
5,39,0.0,1.0
5,40,0.0,1.0
5,41,0.0,1.0
5,42,0.0,1.0
5,43,0.0,1.0
5,44,0.0,1.0
5,45,0.0,1.0
5,46,1.0,0.9782608695652174
5,47,0.0,1.0
5,48,0.0,1.0
5,49,0.0,1.0
5,50,0.0,1.0
